language_name,native_name,language_code,dir
Afrikaans,Afrikaans,af,ltr
Albanian,Shqip,sq,ltr
Amharic,አማርኛ,am,ltr
Arabic,العربية,ar,rtl
Armenian,Հայերեն,hy,ltr
Assamese,অসমীয়া,as,ltr
Azerbaijani,Azərbaycan,az,ltr
Bangla,বাংলা,bn,ltr
Bashkir,Bashkir,ba,ltr
Basque,Euskara,eu,ltr
Belarusian,беларуская,be,ltr
Bhojpuri,भोजपुरी,bho,ltr
Bodo,बड़ो,brx,ltr
Bosnian,Bosanski,bs,ltr
Bulgarian,Български,bg,ltr
Cantonese (Traditional),粵語 (繁體),yue,ltr
Catalan,Català,ca,ltr
Chhattisgarhi,छत्तीसगढ़ी,hne,ltr
Chinese (Literary),中文 (文言文),lzh,ltr
Chinese Simplified,中文 (简体),zh-Hans,ltr
Chinese Traditional,繁體中文 (繁體),zh-Hant,ltr
Croatian,Hrvatski,hr,ltr
Czech,Čeština,cs,ltr
Danish,Dansk,da,ltr
Dari,دری,prs,rtl
Divehi,ދިވެހިބަސް,dv,rtl
Dogri,डोगरी,doi,ltr
Dutch,Nederlands,nl,ltr
English,English,en,ltr
Estonian,Eesti,et,ltr
Faroese,Føroyskt,fo,ltr
Fijian,Na Vosa Vakaviti,fj,ltr
Filipino,Filipino,fil,ltr
Finnish,Suomi,fi,ltr
French (Canada),Français (Canada),fr-CA,ltr
French,Français,fr,ltr
Galician,Galego,gl,ltr
Ganda,Ganda,lug,ltr
Georgian,ქართული,ka,ltr
German,Deutsch,de,ltr
Greek,Ελληνικά,el,ltr
Gujarati,ગુજરાતી,gu,ltr
Haitian Creole,Haitian Creole,ht,ltr
Hausa,Hausa,ha,ltr
Hebrew,עברית,he,rtl
Hindi,हिन्दी,hi,ltr
Hmong Daw,Hmong Daw,mww,ltr
Hungarian,Magyar,hu,ltr
Icelandic,Íslenska,is,ltr
Igbo,Ásụ̀sụ́ Ìgbò,ig,ltr
Indonesian,Indonesia,id,ltr
Inuinnaqtun,Inuinnaqtun,ikt,ltr
Inuktitut (Latin),Inuktitut (Latin),iu-Latn,ltr
Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu,ltr
Irish,Gaeilge,ga,ltr
Italian,Italiano,it,ltr
Japanese,日本語,ja,ltr
Kannada,ಕನ್ನಡ,kn,ltr
Kashmiri,کٲشُر,ks,rtl
Kazakh,Қазақ Тілі,kk,ltr
Khmer,ខ្មែរ,km,ltr
Kinyarwanda,Kinyarwanda,rw,ltr
Klingon (Latin),Klingon (Latin),tlh-Latn,ltr
Klingon (pIqaD),Klingon (pIqaD),tlh-Piqd,ltr
Konkani,कोंकणी,gom,ltr
Korean,한국어,ko,ltr
Kurdish (Central),Kurdî (Navîn),ku,rtl
Kurdish (Northern),Kurdî (Bakur),kmr,ltr
Kyrgyz,Кыргызча,ky,ltr
Lao,ລາວ,lo,ltr
Latvian,Latviešu,lv,ltr
Lingala,Lingála,ln,ltr
Lithuanian,Lietuvių,lt,ltr
Lower Sorbian,Dolnoserbšćina,dsb,ltr
Luxembourgish,Lëtzebuergesch,lb,ltr
Macedonian,Македонски,mk,ltr
Maithili,मैथिली,mai,ltr
Malagasy,Malagasy,mg,ltr
Malay,Melayu,ms,ltr
Malayalam,മലയാളം,ml,ltr
Maltese,Malti,mt,ltr
Manipuri,ꯃꯩꯇꯩꯂꯣꯟ,mni,ltr
Māori,Te Reo Māori,mi,ltr
Marathi,मराठी,mr,ltr
Mongolian (Cyrillic),Монгол,mn-Cyrl,ltr
Mongolian (Traditional),ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ,mn-Mong,ltr
Myanmar (Burmese),မြန်မာ,my,ltr
Nepali,नेपाली,ne,ltr
Norwegian,Norsk Bokmål,nb,ltr
Nyanja,Nyanja,nya,ltr
Odia,ଓଡ଼ିଆ,or,ltr
Pashto,پښتو,ps,rtl
Persian,فارسی,fa,rtl
Polish,Polski,pl,ltr
Portuguese (Brazil),Português (Brasil),pt,ltr
Portuguese (Portugal),Português (Portugal),pt-PT,ltr
Punjabi,ਪੰਜਾਬੀ,pa,ltr
Querétaro Otomi,Hñähñu,otq,ltr
Romanian,Română,ro,ltr
Rundi,Rundi,run,ltr
Russian,Русский,ru,ltr
Samoan,Gagana Sāmoa,sm,ltr
Serbian (Cyrillic),Српски (ћирилица),sr-Cyrl,ltr
Serbian (Latin),Srpski (latinica),sr-Latn,ltr
Sesotho sa Leboa,Sesotho sa Leboa,nso,ltr
Sesotho,Sesotho,st,ltr
Setswana,Setswana,tn,ltr
Shona,chiShona,sn,ltr
Sindhi,سنڌي,sd,rtl
Sinhala,සිංහල,si,ltr
Slovak,Slovenčina,sk,ltr
Slovenian,Slovenščina,sl,ltr
Somali,Soomaali,so,ltr
Spanish,Español,es,ltr
Swahili,Kiswahili,sw,ltr
Swedish,Svenska,sv,ltr
Tahitian,Reo Tahiti,ty,ltr
Tamil,தமிழ்,ta,ltr
Tatar,Татар,tt,ltr
Telugu,తెలుగు,te,ltr
Thai,ไทย,th,ltr
Tibetan,བོད་སྐད་,bo,ltr
Tigrinya,ትግር,ti,ltr
Tongan,Lea Fakatonga,to,ltr
Turkish,Türkçe,tr,ltr
Turkmen,Türkmen Dili,tk,ltr
Ukrainian,Українська,uk,ltr
Upper Sorbian,Hornjoserbšćina,hsb,ltr
Urdu,اردو,ur,rtl
Uyghur,ئۇيغۇرچە,ug,rtl
Uzbek (Latin),O‘Zbek,uz,ltr
Vietnamese,Tiếng Việt,vi,ltr
Welsh,Cymraeg,cy,ltr
Xhosa,isiXhosa,xh,ltr
Yoruba,Èdè Yorùbá,yo,ltr
Yucatec Maya,Yucatec Maya,yua,ltr
Zulu,Isi-Zulu,zu,ltr
