language_name,native_name,language_code,dir
Afrikaans,Afrikaans,af,ltr
Amharic,አማርኛ,am,ltr
Arabic,العربية,ar,rtl
Assamese,অসমীয়া,as,ltr
Azerbaijani,Azərbaycan,az,ltr
Bashkir,Bashkir,ba,ltr
Belarusian,беларуская,be,ltr
Bulgarian,Български,bg,ltr
Bhojpuri,भोजपुरी,bho,ltr
Bangla,বাংলা,bn,ltr
Tibetan,བོད་སྐད་,bo,ltr
Bodo,बड़ो,brx,ltr
Bosnian,Bosanski,bs,ltr
Catalan,Català,ca,ltr
Czech,Čeština,cs,ltr
Welsh,Cymraeg,cy,ltr
Danish,Dansk,da,ltr
German,Deutsch,de,ltr
Dogri,डोगरी,doi,ltr
Lower Sorbian,Dolnoserbšćina,dsb,ltr
Divehi,ދިވެހިބަސް,dv,rtl
Greek,Ελληνικά,el,ltr
English,English,en,ltr
Spanish,Español,es,ltr
Estonian,Eesti,et,ltr
Basque,Euskara,eu,ltr
Persian,فارسی,fa,rtl
Finnish,Suomi,fi,ltr
Filipino,Filipino,fil,ltr
Fijian,Na Vosa Vakaviti,fj,ltr
Faroese,Føroyskt,fo,ltr
French,Français,fr,ltr
French (Canada),Français (Canada),fr-CA,ltr
Irish,Gaeilge,ga,ltr
Galician,Galego,gl,ltr
Konkani,कोंकणी,gom,ltr
Gujarati,ગુજરાતી,gu,ltr
Hausa,Hausa,ha,ltr
Hebrew,עברית,he,rtl
Hindi,हिन्दी,hi,ltr
Chhattisgarhi,छत्तीसगढ़ी,hne,ltr
Croatian,Hrvatski,hr,ltr
Upper Sorbian,Hornjoserbšćina,hsb,ltr
Haitian Creole,Haitian Creole,ht,ltr
Hungarian,Magyar,hu,ltr
Armenian,Հայերեն,hy,ltr
Indonesian,Indonesia,id,ltr
Igbo,Ásụ̀sụ́ Ìgbò,ig,ltr
Inuinnaqtun,Inuinnaqtun,ikt,ltr
Icelandic,Íslenska,is,ltr
Italian,Italiano,it,ltr
Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu,ltr
Inuktitut (Latin),Inuktitut (Latin),iu-Latn,ltr
Japanese,日本語,ja,ltr
Georgian,ქართული,ka,ltr
Kazakh,Қазақ Тілі,kk,ltr
Khmer,ខ្មែរ,km,ltr
Kurdish (Northern),Kurdî (Bakur),kmr,ltr
Kannada,ಕನ್ನಡ,kn,ltr
Korean,한국어,ko,ltr
Kashmiri,کٲشُر,ks,rtl
Kurdish (Central),Kurdî (Navîn),ku,rtl
Kyrgyz,Кыргызча,ky,ltr
Luxembourgish,Lëtzebuergesch,lb,ltr
Lingala,Lingála,ln,ltr
Lao,ລາວ,lo,ltr
Lithuanian,Lietuvių,lt,ltr
Ganda,Ganda,lug,ltr
Latvian,Latviešu,lv,ltr
Chinese (Literary),中文 (文言文),lzh,ltr
Maithili,मैथिली,mai,ltr
